portfolio_id,return
PF00001001,0.02498522400856018
PF00001004,0.024717122316360474
PF00001009,0.02484145760536194
PF00001013,0.02529364824295044
PF00001014,0.02491241693496704
PF00001015,0.025020509958267212
PF00001017,0.024929523468017578
PF00001023,0.024845242500305176
PF00001024,0.02495861053466797
PF00001025,0.05695566534996033
PF00001028,0.025109201669692993
PF00001032,0.025005042552947998
PF00001036,0.025054603815078735
PF00001041,0.025088131427764893
PF00001045,0.024999231100082397
PF00001047,0.02510586380958557
PF00001049,0.024984121322631836
PF00001053,0.056914061307907104
PF00001060,0.024967998266220093
PF00001067,0.025078296661376953
PF00001068,0.024892032146453857
PF00001069,0.024951279163360596
PF00001077,0.025257915258407593
PF00001078,0.025371134281158447
PF00001085,0.025206297636032104
PF00001086,0.05668303370475769
PF00001087,0.025321155786514282
PF00001088,0.025458842515945435
PF00001092,0.025357067584991455
PF00001095,0.025439172983169556
PF00001099,0.025265544652938843
PF00001100,0.025546878576278687
PF00001104,0.02562043070793152
PF00001105,0.02635553479194641
PF00001107,0.02645382285118103
PF00001108,0.05603596568107605
PF00001112,0.026448488235473633
PF00001119,0.026370972394943237
PF00001123,0.026308715343475342
PF00001126,0.02645769715309143
PF00001132,0.025541692972183228
PF00001135,0.025452405214309692
PF00001145,0.026369214057922363
PF00001148,0.025624632835388184
PF00001153,0.02503874897956848
PF00001155,0.0572056770324707
PF00001161,0.025424957275390625
PF00001164,0.02524629235267639
PF00001165,0.025390982627868652
PF00001171,0.05690830945968628
PF00001178,0.02561160922050476
PF00001179,0.031114161014556885
PF00001180,0.056927770376205444
PF00001194,0.025426387786865234
PF00001199,0.025423169136047363
PF00001198,0.026389211416244507
PF00001203,0.025708019733428955
PF00001204,0.025683730840682983
PF00001209,0.05796441435813904
PF00001210,0.02523326873779297
PF00001218,0.02536413073539734
PF00001220,0.02552470564842224
PF00001223,0.02540835738182068
PF00001225,0.025290876626968384
PF00001227,0.025654911994934082
PF00001230,0.057835936546325684
PF00001233,0.025665342807769775
PF00001236,0.02575629949569702
PF00001238,0.025819748640060425
PF00001239,0.057676225900650024
PF00001241,0.05789270997047424
PF00001243,0.02503308653831482
PF00001244,0.02673134207725525
PF00001245,0.05734071135520935
PF00001253,0.02548450231552124
PF00001255,0.02546292543411255
PF00001258,0.025700777769088745
PF00001260,0.02563309669494629
PF00001262,0.025631427764892578
PF00001264,0.025777995586395264
PF00001265,0.02583521604537964
PF00001270,0.05729749798774719
